Metadata,Avatar Prior,,,,,Avatar Creation,,,,,,Avatar Animation,,,,,,,Double Checked,Reviewer
Bib ref,Prior Dataset Size,Datasets,Data Type,Data Modality,GPU Days,Needed Assets,Input,Additional Priors,Req. Optimization,Creation Speed,Time of Creation,Animation Signal,Lighting Control,Animation Speed,Time of Anim.,Image Synthesis,Image Refinement,Contents,,
zhou2024headstudio,,,,,,,Text,"Image Diffusion, 3DMM",Yes,Medium (<6h),2 hours,3DMM expr,None,Real-time (>30 FPS),40,3DGS,No,Face,FALSE,
wang2024headevolver,,,,,,,Text,MediaPipe-ControlNet,Yes,Fast (<30min),30 minutes,3DMM expr,None,Real-time (>30 FPS),,Mesh,No,Face,FALSE,
wu2025animportrait3d,89590,"FFHQ, LPFF",Real,Single image,2,,Text,"3DMM, Image Diffusion",Yes,Medium (<6h),3.5 hours,3DMM expr,None,Real-time (>30 FPS),,3DGS,No,Face,FALSE,
ma2023otavatar,300,HDTF ,Real,Mono video,8,"Tracked 3DMM, Cameras",One,EG3D,Yes,Fast (<30min),5 mins,3DMM expr,None,Real-time (>30 FPS),35,NeRF,Yes,Face,FALSE,
ye2024real3d,15653,"CelebV-HQ, EG3D","Real, Synthetic",Mono video,60,Tracked 3DMM,One,,No,Instant (<1min),,"3DMM expr, Audio",None,Interactive (>5 FPS),6,NeRF,Yes,Face,FALSE,
hong2022headnerf,4543,"FFHQ, FaceScape, Internal",Real,"Single image, Multi-view image, OLAT multi-view image",3,Cameras,"One, Few, Mono video",3DMM,Yes,Fast (<30min),,General expr,Distant Light,Real-time (>30 FPS),40,NeRF,Yes,Face,FALSE,
zhuang2022mofanerf,1363,"FaceScape, HeadSpace",Real,Multi-view image,4,Cameras,"One, Mono video, Few",,Yes,Fast (<30min),,General expr,None,Interactive (>5 FPS),,NeRF,Yes,Face,FALSE,
yu2024one2avatar,2407,Internal,Real,Multi-view image,96,,"One, Few, Mono video",3DMM,Yes,Fast (<30min),,3DMM expr,None,Offline (<1 FPS),,NeRF,No,Face,FALSE,
yang2024vrmm,254,Internal,Real,OLAT multi-view image,112,Cameras,"One, Few, Mono video",,Yes,Medium (<6h),,General expr,Distant Light,Real-time (>30 FPS),,MVP,No,Face,FALSE,
Xheng2024headgap,119,NeRSemble,Real,Multi-view video,16,"Tracked 3DMM, Cameras","One, Few, Mono video",3DMM,Yes,Fast (<30min),5 minutes,3DMM expr,None,Real-time (>30 FPS),,3DGS,Yes,Face,FALSE,
mendiratta2025grmm,550,"EXPRESS-50, RenderMe-360",Real,Multi-view image,4,"Tracked 3DMM, Cameras","One, Few, Mono video",3DMM,Yes,Fast (<30min),,3DMM expr,None,Real-time (>30 FPS),,3DGS,Yes,Face,FALSE,
yu2025gaia,70000,FFHQ,Real,Single image,40,,Zero,,No,Instant (<1min),,3DMM expr,None,Real-time (>30 FPS),52,3DGS,No,Face,FALSE,
guo2024liveportrait,18900,"VoxCeleb2, MEAD, RAVDESS, Internal",Real,Mono video,96,,One,,No,Instant (<1min),,Video,None,Real-time (>30 FPS),80,Neural Rendering,No,Face,FALSE,
xu2024vasa1,9500,"VoxCeleb2, Internal",Real,Mono video,40,,One,"PortraitAnimation, Wave2Vec",No,Instant (<1min),,Audio,None,Real-time (>30 FPS),40,Neural Rendering,No,Face,FALSE,
he2024diffrelight,,,,,,Cameras,OLAT multi-view video,Image Diffusion,Yes,Slow (>6h),,General expr,Local Light,Interactive (>5 FPS),10,"3DGS, Neural Rendering",No,Face,FALSE,
cheng2025wananimate,,Internal,"Real, Generated",Mono video,,,One,"Image Diffusion, IC-Light",No,Instant (<1min),,"Pose, General expr",Distant Light,Offline (<1 FPS),,Neural Rendering,No,"Face, Full-body",FALSE,
Sun2023next3d,70000,FFHQ,Real,Single image,16,,Zero,3DMM,No,Fast (<30min),3 mins,3DMM expr,None,Real-time (>30 FPS),35,NeRF,Yes,Face,FALSE,
Rasras2024lips,200,Internal,Real,"Meshes, Multi-view video",1,"Tracked 3DMM, Textures",Multi-view video,,Yes,Slow (>6h),4 days,"Pose, General expr",None,Real-time (>30 FPS),33,Mesh,No,"Teeth, Tounge",FALSE,
guo2023handnerf,,,,,,,Multi-view video,,,,,,,,,,,,FALSE,
Iwase2023relightablehands,2,Internal,Real,Multi-view video,ask,Tracked 3DMM,OLAT multi-view video,3DMM,No,,ask,Pose,"Local Light, Distant Light",Real-time (>30 FPS),31,MVP,No,Hands,FALSE,
Chen2024urhand,93,Internal,Real,Multi-view video,80,"Textures, Hand Pose, Meshes","Mono video, Depth",3DMM,Yes,,,Pose,"Local Light, Distant Light",Real-time (>30 FPS),31,Mesh,No,Hands,FALSE,
Qian2020html,51,Internal,Real,"Meshes, Mono video",N/A,"Tracked 3DMM (MANO), Hand Pose",One,3DMM,Yes,Medium (<6h),N/A,Pose,None,Real-time (>30 FPS),100,Mesh,No,Hands,FALSE,
chen2023handavatar,27,InterHand2.6M,Real,Multi-view video,N/A,Tracked 3DMM,Mono video,3DMM,Yes,Medium (<6h),N/A,Pose,Distant Light,Offline (<1 FPS),,NeRF,No,Hands,FALSE,
Potamias2023handy,1200,Internal,Real,"Multi-view video, Meshes",,,One,3DMM,Yes,Fast (<30min),,Pose,None,Real-time (>30 FPS),,Mesh,No,Hands,FALSE,
corona2022lisa,27,InterHand2.6M,Real,Multi-view video,N/A,Hand Pose,"Multi-view video, Mono video, One",,Yes,Fast (<30min),5 minutes,Pose,None,Offline (<1 FPS),3.7,NeRF,No,Hands,FALSE,
karunratanakul2023harp,,,,,,Tracked 3DMM,Mono video,3DMM,Yes,Medium (<6h),80 minutes,Pose,Distant Light,Real-time (>30 FPS),,Mesh,No,Hands,FALSE,
li2022nimble,35 (MRI)/20 (Texture),MRI-Hand,Real,"MRI, Meshes, OLAT multi-view video",,Tracked 3DMM,"One, Depth",3DMM,Yes,Fast (<30min),,Pose,"Local Light, Distant Light",Offline (<1 FPS),,Mesh,No,Hands,FALSE,
mundra2023livehand,,,,,,Tracked 3DMM,Multi-view video,3DMM,Yes,Slow (>6h),,Pose,None,Real-time (>30 FPS),45,NeRF,Yes,Hands,FALSE,
Remelli2022drivable,,,,,,Tracked 3DMM,Multi-view video,3DMM,Yes,Slow (>6h),5 days,"Pose, Video",None,Real-time (>30 FPS),20,MVP,No,Full-body,FALSE,
Xiu2022icon,450,RenderPeople,"Real, Generated","Single image, Meshes",,Tracked 3DMM,One,3DMM,No,Instant (<1min),,Pose,None,Offline (<1 FPS),,SDF,No,Full-body,FALSE,
li2023posevocab,,,Real,Multi-view video,,Tracked 3DMM,Multi-view video,3DMM,Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
zheng2023avatarrex,,,,,,Tracked 3DMM,Multi-view video,3DMM,Yes,Slow (>6h),,Pose,None,Interactive (>5 FPS),25,NeRF,No,Full-body,FALSE,
hu2024animate,,,Real,Single image,,body pose,One,,Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,Diffusion,No,Full-body,FALSE,
Li2024animatable,,,,,,Tracked 3DMM,Multi-view video,3DMM,Yes,Slow (>6h),,Pose,None,Interactive (>5 FPS),10,3DGS,No,Full-body,FALSE,
Su2023npc,,,Real,Multi-view video,,Tracked 3DMM,Multi-view video,,Yes,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
Zheng2024gps,1926,"Internal, THuman2.0",Real,Meshes,1,,Multi-view video,,Yes,Slow (>6h),,Pose,None,Interactive (>5 FPS),25,3DGS,No,Full-body,FALSE,
jiang2023instantavatar,,,,,,Tracked 3DMM,Mono video,,Yes,Instant (<1min),,Pose,None,Interactive (>5 FPS),15,NeRF,No,Full-body,FALSE,
yu2025humanram,7100,"THuman2.0, Human4DiT, ActorsHQ, ZJU-MoCap",Real,"Multi-view video, Meshes",>48,Tracked 3DMM,"One, Few",,No,Instant (<1min),,Pose,None,,,"Mesh, Neural Rendering",Yes,Full-body,FALSE,
bergman2022gnarf,175," SURREAL, AIST",Real,"Mono video, Multi-view video",16,,Zero,,No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,NeRF,Yes,Full-body,FALSE,
Bagautdinov2021driving,,,,,,"Tracked 3DMM, Textures",Multi-view video,3DMM,No,Slow (>6h),2 days,Pose,None,Real-time (>30 FPS),,Mesh,No,Full-body,FALSE,
peng2021neural,,,,,,Tracked 3DMM,Multi-view video,3DMM,No,Slow (>6h),3 days,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
zhou2024animatable,,,,,,Tracked 3DMM,Multi-view video,3DMM,No,Slow (>6h),,Pose,None,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
lin2024layga,,,,,,Tracked 3DMM,Multi-view video,3DMM,No,Slow (>6h),2 days,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
Zielonka2023d3ga,,,,,,Tracked 3DMM,Multi-view video,3DMM,No,Slow (>6h),1 day,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
chen2022relighting4d,,,,,,Tracked 3DMM,"Multi-view video, Mono video",3DMM,Yes,Slow (>6h),3 days,Pose,Distant Light,Offline (<1 FPS),,NeRF,No,Full-body,FALSE,
wang2025relightable,,,,,,"Tracked 3DMM, Known Lighting",OLAT multi-view video,3DMM,Yes,Slow (>6h),2 days,"General expr, Pose","Local Light, Distant Light",Real-time (>30 FPS),,"3DGS, Neural Rendering",Yes,Full-body,FALSE,
li2023animatable,,,,,,Tracked 3DMM,Mono video,3DMM,Yes,Slow (>6h),2 days,Pose,Distant Light,Interactive (>5 FPS),7.7,3DGS,No,Full-body,FALSE,
moreau2024human,,,,,,"Tracked 3DMM, Cameras",Multi-view video,3DMM,Yes,Slow (>6h),5-20 hours,Pose,None,Real-time (>30 FPS),80,3DGS,No,Full-body,FALSE,
chen2025taoavatar,,,,,,"Tracked 3DMM, Cameras",Multi-view video,3DMM,Yes,Slow (>6h),,Pose,None,Real-time (>30 FPS),90,3DGS,No,Full-body,FALSE,
wang2024intrinsicavatar,,,,,,"Tracked 3DMM, Cameras",Mono video,3DMM,Yes,Medium (<6h),4 hours,Pose,Distant Light,Offline (<1 FPS),0.05,NeRF,No,Full-body,FALSE,
xu2024relightable,,,,,,"Tracked 3DMM, Cameras",Mono video,3DMM,Yes,Slow (>6h),20 hours,Pose,Distant Light,Offline (<1 FPS),0.2,SDF,No,Full-body,FALSE,
schmidt2025becominglit,,,,,,,,,,,,,,,,,,Face,FALSE,
iqbal2023rana,400,RenderPeople,Real,Meshes,,"Tracked 3DMM, Cameras, Textures",Mono video,3DMM,Yes,Medium (<6h),,Pose,Distant Light,Real-time (>30 FPS),,Mesh,No,Full-body,FALSE,
Wang2025fresa,1100,Internal,Real,"Multi-view video, Meshes",,Tracked 3DMM,Few,,No,Instant (<1min),20 seconds,Pose,None,Real-time (>30 FPS),,SDF,No,Full-body,FALSE,
xiu2024puzzleavatar,525,THuman2.0,Real,Meshes,,,Few,"Image Diffusion, Grounded-SAM, GPT-4V, 3DMM",Yes,Medium (<6h),4 hours,Pose,None,Real-time (>30 FPS),,Mesh,No,Full-body,FALSE,
sim2025persona,,,,,,Tracked 3DMM,One,"3DMM, Image Diffusion",Yes,Medium (<6h),1.5 hours,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
qiu2025anigs,6124,"2K2K, THuman2.0, CustomHumans, Twindom, RenderPeople","Real, Generated, Synthetic",Mono video,>3,Tracked 3DMM,One,3DMM,Yes,Fast (<30min),10 mins,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
Guo2025vid2avatarpro,1000,Internal,Real,Multi-view video,,Tracked 3DMM,Mono video,3DMM,Yes,Medium (<6h),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
zhuang2025idol,100000,Ensemble,"Real, Synthetic, Generated","Multi-view video, Meshes",,Tracked 3DMM,One,3DMM,No,Instant (<1min),,Pose,None,Real-time (>30 FPS),,3DGS,No,Full-body,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
,,,,,,,,,,,,,,,,,,,FALSE,
